"ProjectID","Path","Exists","Documents","Expected","Actual","Safe"
"427775","Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 5* e 6*\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Ampliações 4°Ano SH 5* e 6*-0000001","True","1","GRD-COM-ECA-Ampliações 4°Ano SH 5_ e 6_-0000001.xlsx","GRD-COM-ECA-Ampliações 4°Ano SH 5_ e 6_-0000001.xlsx","True"
"427777","Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 20 e 21\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Ampliações 4°Ano SH 20 e 21-0000001","True","1","GRD-COM-ECA-Ampliações 4°Ano SH 20 e 21-0000001.xlsx","GRD-COM-ECA-Ampliações 4°Ano SH 20 e 21-0000001.xlsx","True"
"427779","Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 4*\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Ampliações 4°Ano SH 4-0000001","True","1","GRD-COM-ECA-Ampliações 4°Ano SH 4-0000001.xlsx","GRD-COM-ECA-Ampliações 4°Ano SH 4-0000001.xlsx","True"
"427780","Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 4*\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Ampliações 4°Ano SH 4*-0000001","True","1","GRD-COM-ECA-Ampliações 4°Ano SH 4_-0000001.xlsx","GRD-COM-ECA-Ampliações 4°Ano SH 4_-0000001.xlsx","True"
"427782","Engenharia\Ecovias Araguaia\Projetos\Retornos em “U” 20\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Retornos em “U” 20-0000001","True","1","GRD-COM-ECA-Retornos em “U” 20-0000001.xlsx","GRD-COM-ECA-Retornos em “U” 20-0000001.xlsx","True"
"427784","Engenharia\Ecovias Norte Minas\Projetos\Retorno km 386\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ENM-Retorno km 386-0000001","True","1","GRD-COM-ENM-Retorno km 386-0000001.xlsx","GRD-COM-ENM-Retorno km 386-0000001.xlsx","True"
"427786","Engenharia\Ecovias Araguaia\Projetos\Ampliações 3° Ano SH 1\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Ampliações 3° Ano SH 1-0000001","True","1","GRD-COM-ECA-Ampliações 3° Ano SH 1-0000001.xlsx","GRD-COM-ECA-Ampliações 3° Ano SH 1-0000001.xlsx","True"
"427787","Engenharia\Ecovias Norte Minas\Projetos\Retorno km 386\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC5-Retorno km 386-0000001","True","1","GRD-COM-EC5-Retorno km 386-0000001.xlsx","GRD-COM-EC5-Retorno km 386-0000001.xlsx","True"
"427789","Engenharia\Ecovias Capixaba\Projetos\Contorno de Ibiraçu\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-Contorno de Ibiraçu-0000001","True","1","GRD-COM-EC1-Contorno de Ibiraçu-0000001.xlsx","GRD-COM-EC1-Contorno de Ibiraçu-0000001.xlsx","True"
"427791","Engenharia\Ecovias Araguaia\Projetos\Ampliações 4°Ano SH 3* e 4*\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Ampliações 4°Ano SH 3* e 4*-0000001","True","1","GRD-COM-ECA-Ampliações 4°Ano SH 3_ e 4_-0000001.xlsx","GRD-COM-ECA-Ampliações 4°Ano SH 3_ e 4_-0000001.xlsx","True"
"427793","Engenharia\Ecovias Minas Goiás\Projetos\Escape km 56+100\0 - Documentos Gerais\Documentos com unidade\GRD-COM-E050-Escape km 56+100-0000001","True","1","GRD-COM-E050-Escape km 56+100-0000001.xlsx","GRD-COM-E050-Escape km 56+100-0000001.xlsx","True"
"427795","Engenharia\Ecovias Capixaba\Projetos\Contorno de Fundão\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-Contorno de Fundão-0000001","True","1","GRD-COM-EC1-Contorno de Fundão-0000001.xlsx","GRD-COM-EC1-Contorno de Fundão-0000001.xlsx","True"
"427797","Engenharia\Ecovias Minas Goiás\Projetos\Escape km 54+300\0 - Documentos Gerais\Documentos com unidade\GRD-COM-E050-Escape km 54+300-0000001","True","1","GRD-COM-E050-Escape km 54+300-0000001.xlsx","GRD-COM-E050-Escape km 54+300-0000001.xlsx","True"
"427799","Engenharia\Ecovias Capixaba\Projetos\PPD Norte\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-PPD Norte-0000001","True","1","GRD-COM-EC1-PPD Norte-0000001.xlsx","GRD-COM-EC1-PPD Norte-0000001.xlsx","True"
"427801","Engenharia\Ecovias Capixaba\Projetos\PPD Sul\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-PPD Sul-0000001","True","1","GRD-COM-EC1-PPD Sul-0000001.xlsx","GRD-COM-EC1-PPD Sul-0000001.xlsx","True"
"427803","Engenharia\Ecovias Araguaia\Projetos\Passarela Uruaçu km 197\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Passarela Uruaçu km 197-0000001","True","1","GRD-COM-ECA-Passarela Uruaçu km 197-0000001.xlsx","GRD-COM-ECA-Passarela Uruaçu km 197-0000001.xlsx","True"
"427805","Engenharia\Ecovias Araguaia\Projetos\Passarela Uruaçu km 198\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Passarela Uruaçu km 198-0000001","True","1","GRD-COM-ECA-Passarela Uruaçu km 198-0000001.xlsx","GRD-COM-ECA-Passarela Uruaçu km 198-0000001.xlsx","True"
