2026-07-20 14:20:53 | INFO | Aplicacao iniciada.
2026-07-20 14:20:53 | INFO | Tentando importar modulo do ProjectWise.
2026-07-20 14:20:54 | INFO | Modulo 'pwps_dab' importado com sucesso.
2026-07-20 14:20:54 | INFO | Tentando conectar ao datasource do ProjectWise.
2026-07-20 14:20:54 | INFO | Tentando conexao via 'New-PWLogin'. Parametros: DatasourceName, UserName, Password, UseGui, DoNotCreateWorkingDirectory, BentleyIMS, LoadWRE, NonAdminLogin, Token, Verbose, Debug, ErrorAction, WarningAction, InformationAction, ErrorVariable, WarningVariable, InformationVariable, OutVariable, OutBuffer, PipelineVariable
2026-07-20 14:21:11 | INFO | Conexao realizada via 'New-PWLogin -BentleyIMS'.
2026-07-20 14:21:11 | INFO | Conexao com ProjectWise realizada com sucesso.
2026-07-20 14:21:21 | ERROR | Erro ao buscar usuario. Detalhe: Para buscar varios usuarios, marque a opcao 'Modo lote de usuários'.
2026-07-20 14:21:25 | ERROR | Erro ao buscar usuario. Detalhe: Para buscar varios usuarios, marque a opcao 'Modo lote de usuários'.
2026-07-20 14:21:30 | ERROR | Erro ao buscar usuario. Detalhe: Para buscar varios usuarios, marque a opcao 'Modo lote de usuários'.
2026-07-20 14:21:43 | ERROR | Erro ao buscar usuario. Detalhe: Para buscar varios usuarios, marque a opcao 'Modo lote de usuários'.
2026-07-20 14:22:10 | INFO | Sessao encerrada com 'Undo-PWLogin'.
